cnpj;oscip;titulo;texto;fonte
05075576000131;"Fundação Cultural Aro";"Servicos Prestados";"Arte-Educação, Atividades Literárias e Humanísticas, Mídia e Comunicações, Preservação Cultural e Histórica";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=989&Instituicao=FUNDACAO-CULTURAL-ARO
04723294000130;"Instituição Social Cultural Alegria de Ler";"Servicos Prestados";"Atividades de organizações associativas ligadas à cultura e à arte";"http://www.cidadevoluntaria.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=1429&Instituicao=INSTITUICAO-SOCIAL-CULTURAL-ALEGRIA-DE-LER-ISCAL;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=1429&Instituicao=INSTITUICAO-SOCIAL-CULTURAL-ALEGRIA-DE-LER-ISCAL
-SOCIAL-CULTURAL-ALEGRIA-DE-LER-ISCAL"
07682216000123;"Instituto Art Déco Brasil";Membros;"Presidente: Marcio Roiter";http://www.ebc.com.br/amphtml/cultura/2013/04/empresas-e-profissionais-liberais-de-renome-instalaram-escritorios-no-edificio-a
07682216000123;"Instituto Art Déco Brasil";"Servicos Prestados";"Atividades de associações de defesa de direitos sociais, Restauração de obras-de-arte, Atividades de organizações associativas ligadas à cultura e à arte";http://cnpj.info/INSTITUTO-ART-DECO-BRASIL/YO8U/
07508414000175;"Instituto Brasileiro de Gestão Pública";Membros;"Vice Presidente: Gislaine Vargas Saibro";http://www.caubr.gov.br/presidencia-05-11-2017-a-11-11-2017/
05596539000179;"Instituto de Desenvolvimento Estudo e Integração pela Animação";Membros;"Diretores: Aida Queiroz,Cesar Coelho,Léa Zaguri,Marcos Magalhães|Coordenadores:Itamony Barros|Professores|Monitores";"http://www.animaescola.com.br/br/equipe;http://www.animaescola.com.br/br/equipe;http://www.animamundi.com.br/pt/animamundi-institucional/"
05596539000179;"Instituto de Desenvolvimento Estudo e Integração pela Animação";"Objetivo da OSCIP";"Introduzir nas escolas a linguagem da animação, proporcionando a professores e alunos a experiência de produzir filmes animados de forma crítica e criativa Possibilitar novos modos de produção de conhecimento. Oferecer ferramentas técnicas apropriadas para a realização de filmes de animação por alunos e professores de forma autônoma. Dar subsídios para a construção de novas práticas pedagógicas, contribuindo para uma educação de qualidade. Difundir a arte da Animação, descobrindo e estimulando novos talentos. Gerar um material didático diferenciado - filmes de animação que ficam à disposição das escolas para uso em sala de aula.";http://www.animaescola.com.br/br/apresentacao
05596539000179;"Instituto de Desenvolvimento Estudo e Integração pela Animação";Perfil;"Experiência em animação e gosta de trabalhar com crianças e adolescentes. Participe da área de educação e tem experiência em trabalhar com educação artística.";http://www.animaescola.com.br/br/cv
05596539000179;"Instituto de Desenvolvimento Estudo e Integração pela Animação";"Servicos Prestados";"Atividades Artísticas e de Espetáculos, Atividades Complementares à Escola, Pesquisa em Ciências Físicas e Tecnológicas, Curso Básico para Professores, Oficinas de Animação para Alunos, Curso de Produção de Filmes de Animação para Alunos,  Produção Autônoma de Filmes de Animação nas Escolas";"http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=8906&Instituicao=Instituto-de-Desenvolvimento%2C-Estudo-e-Integracao-pela-Animacao-IDEIA;http://www.animaescola.com.br/br/atividades"
03808720000176;"Instituto de Imagem e Cidadania Rio de Janeiro";"Objetivo da OSCIP";"O Sobrado Cultural tem como objetivo desenvolver atividades que garantam a participação juvenil na produção de diferentes linguagens culturais e contribuir para o fortalecimento da identidade local através da valorização da memória da região e da produção cultural, promovendo o estabelecimento de redes de participação que influenciem na políticas públicas da cidade. Desenvolve ações de educação, cultura e comunicação. Durante 10 anos desenvolveu atividades no Sobrado Cultural em Vila Isabel no Rio de Janeiro e atualmente tem se dedicado ao Sobrado Cultural Rural localizado no vilarejo de Santo Antonio em Bom Jardim.";"http://www.uff.br/observatoriojovem/materia/instituto-de-imagem-e-cidadania-rio-de-janeiro-%E2%80%93-sobrado-cultural;http://imagemcidadania.blogspot.com.br/p/historia.html"
03808720000176;"Instituto de Imagem e Cidadania Rio de Janeiro";"Servicos Prestados";"Desenvolve ações de educação, cultura e comunicação. ";http://imagemcidadania.blogspot.com.br/p/historia.html
04521945000100;"Instituto Net Claro Embratel";Membros;"Presidente: José Félix | Diretora Vice-Presidente de Projetos: Daniely Gomiero|Diretor Vice-Presidente Adm/Financeiro: Luiz Bressan|Co-Presidentes: Daniel Barros,  José Félix,José Formoso|Vice-Presidente: Oscar Petersen|Conselheiros: Gustavo Silbert, Alberto de Orleans e Bragança|Conselho Fiscal: Márcia Motta - Efetivo,  Sergio Nobuo Miyahita - Efetivo, Lenilson Carlos Sarubbi - Efetivo, Silvia Teixeira - Suplente, Dario Balesdent - Suplente, Leandro Oliveira Lage - Suplente";https://www.institutoclaro.org.br/organograma/
04521945000100;"Instituto Net Claro Embratel";"Objetivo da OSCIP";"Por reconhecer este importante papel, assumimos um compromisso social e ambiental que se realiza por várias iniciativas. Uma delas é o Instituto NET Claro Embratel, que foi reestruturado com o objetivo de promover maior alcance e impacto social por meio dos projetos que desenvolve, aproveitando a representatividade e presença que o nosso grupo possui em todo o país. Diante de todas as possibilidades que a tecnologia nos permite, queremos ir além. Proporcionar a aproximação entre as pessoas, de todas as regiões do país, compartilhar experiências e emoções. Impulsionar as mudanças no mundo em que vivemos aliando a tecnologia da informação e da comunicação à educação e ao desenvolvimento social.";https://www.institutoclaro.org.br/instituto-net-claro-embratel/
04521945000100;"Instituto Net Claro Embratel";Perfil;"Jovens talentos universitários.";https://www.institutoclaro.org.br/campusmobile/index.php
04521945000100;"Instituto Net Claro Embratel";"Servicos Prestados";"Aplicação Educacional de Tecnologia, Apoio à Aprendizagem, Atividades Complementares à Escola, Capacitação para o Trabalho, Desenvolvimento Comunitário e Social, Estágio e Emprego, Formação Continuada de Educadores, Formação Técnica e Profissional, Inclusão Digital, Mídia e Comunicações, Preservação Cultural e Histórica, Promoção Humana e Social";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=501&Instituicao=Instituto%20Embratel%2021
05381947000103;"Instituto Pé no Chão";"Servicos Prestados";"Arte-Educação, Atividades Complementares à Escola, Desenvolvimento/ apoio rural e agrícola, Educação Ambiental, Formação Continuada de Educadores, Mídia e Comunicações, Outras, Preservação Cultural e Histórica, Preservação e Proteção da Vida Selvagem, Produção Eco-Sustentável, Promoção Humana e Social, Proteção e Conservação do Patrimônio Natural";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=370&Instituicao=Instituto-Pe-no-Chao
07579027000120;"Instituto Tamanduá Synapse Cultural";Membros;"Diretor Executivo: Julio Worcman|Vice Diretora: Faliny Barros Rezende|Conselho Fiscal: Ana Grabriela Duarte Lopes, Lis de Carvalho Kogan|Conselho Consultivo: Inês Aisengart Menezes, Eduardo Wowczyc, Bibiana Gutierrez Fernandes de Sá, Angela Maria Carneiro da Cunha Lessa";"http://www.institutotamandua.org.br/teatro-BR.htm;http://institutotamandua.org.br/docs_institutotamandua/ata_assembleia_constituicao_2005.pdf"
07579027000120;"Instituto Tamanduá Synapse Cultural";"Objetivo da OSCIP";"As finalidades do Instituto Tamanduá Cultural são: coleta, catalogação, promoção da pesquisa e difusão de informações sobre a produção cultural, defesa e conservação das informações sobre o patrimônio cultural e histórico brasileiros; assim como produção, promoção, difusão e distribuição de informações de produções audiovisuais, editoriais, cênicas ou musicais brasileiras relevantes, de conteúdo informativo, cultural e/ou educacional; promoção gratuita da educação, além de estudos, pesquisas, desenvolvimento e difusão de tecnologias alternativas.";http://institutotamandua.org.br/index.htm
07579027000120;"Instituto Tamanduá Synapse Cultural";"Servicos Prestados";"Aplicação Educacional de Tecnologia, Apoio à Aprendizagem, Arte-Educação, Artes Plásticas e Visuais, Atividades Artísticas e de Espetáculos, Atividades Complementares à Escola, Controle e Diminuição de Danos Ambientais, Educação Fundamental, Educação Média de Formação Geral, Educação Supletiva, Ensino à Distância, Ensino Pré-Escolar, Formação Continuada de Educadores, Formação de Multiplicadores, Mídia e Comunicações, Mobilização e Articulação pela Educação, Preservação Cultural e Histórica, Promoção Humana e Social";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=708&Instituicao=Instituto-Tamandua-Synapse-Cultural
